#,How likely is it that you would recommend the Make School Summer Academy to a friend?,location,track,Start Date (UTC),Submit Date (UTC),Network ID
391157a49dc832edb535b3c6ee3dd6a0,10,San Francisco,summerGames,9/7/16 5:41,9/7/16 5:43,c94ee250b6
f4cb29dfadc30d1ca388b6f9394a1e70,9,Sunnyvale,summerApps,9/7/16 6:30,9/7/16 6:40,07b48293f4
3037a14bbcccee65f18b69ecc793416e,8,Sunnyvale,summerApps,9/7/16 7:55,9/7/16 7:58,258ea0eb2e
3b728045b33cb55602c8587e046f45cf,5,Sunnyvale,summerGames,9/7/16 10:52,9/7/16 10:52,81e019676d
323f4d88cdcde932cf651e8bb34a2785,8,Singapore,summerApps,9/7/16 11:47,9/7/16 11:49,de5aeb8e84
772d72050174a2e730183600b5b3e1bf,9,Singapore,summerApps,9/7/16 9:16,9/7/16 12:26,58089eb896
fa299e5db39696d38eafd4ae6e71aebb,9,Singapore,summerApps,9/7/16 12:26,9/7/16 12:26,58089eb896
35d559a3756563f795c0e9e81299695e,10,San Francisco,summerApps,9/7/16 12:45,9/7/16 12:48,0b7b124ce3
2a42f27c8a19a165f37439cfd9fed33d,10,New York,summerIntro,9/7/16 13:09,9/7/16 13:10,32c6661877
1e19d356f6f8eac878413ec736e46da8,9,San Francisco,summerApps (4-week),9/7/16 14:39,9/7/16 14:40,75a5cf3cee
a8497fc472b7a09ac6e16e658851d652,10,New York,summerApps,9/7/16 14:52,9/7/16 14:54,5a977a012b
3208a7393ff3fd3c67fae17c8e48db37,8,Sunnyvale,summerApps,9/7/16 15:57,9/7/16 15:58,20eafecabd
45d7a66a67ee79f5c9ffa6d6abb1b307,10,San Francisco,summerApps,9/7/16 17:11,9/7/16 17:21,e474841bba
964e2d8e91a04b8735e73aafedb54541,9,San Francisco,summerVR,9/7/16 19:13,9/7/16 19:25,ae112590e9
e8780f8e3d0026549c276135fd9569ef,7,New York,summerApps (4-week),9/7/16 19:23,9/7/16 19:26,a578e4964d
864ff3fc8e19d27f3d4c46eb4b304d35,10,San Francisco,summerApps,9/7/16 19:39,9/7/16 19:40,573a652ffb
c2bc67325eb91085f3686aabf309d801,10,Los Angeles,summerGames,9/7/16 19:51,9/7/16 19:57,cadcc3e368
fd802ce8e43aa9deade38c108298dbaf,10,Sunnyvale,summerIntro,9/7/16 23:58,9/8/16 0:00,9ba33ad0f9
ac671896bf86167dc073c3f52131fe70,8,New York,summerApps,9/8/16 0:50,9/8/16 0:58,1b349a7cce
143652af47062192767081ff1dd630cc,10,San Francisco,summerGames,9/8/16 1:55,9/8/16 1:59,94f319072c
f4a5aed1cad9367cc58744706de54a1b,7,Sunnyvale,summerApps,9/8/16 5:59,9/8/16 6:04,9f09067d6a
3c3495614eada68b5fa8e19377e1cccd,10,Los Angeles,summerGames (4-week),9/8/16 14:25,9/8/16 14:27,89b8894183
8e2309e3a1ba2a5630ea251b96712a9a,8,San Francisco,summerGames,9/8/16 22:00,9/8/16 22:06,01074776b4
44db66e47441ecd2c88dbe5dd3a38e1e,8,New York,summerApps,9/8/16 22:16,9/8/16 22:20,11c95dc87f
80f3d539b648cfaf92b45699e7a0545b,10,San Francisco,summerApps,9/8/16 23:06,9/8/16 23:07,0d6873c5ed
60343ca18c43feedab8481e25421484d,7,San Francisco,summerApps,9/8/16 23:01,9/8/16 23:11,8a13f23e89
5c99e0aac4efe9eecffd83e50ec7c8db,7,San Francisco,summerIntro,9/9/16 1:41,9/9/16 1:42,830f174273
022d99be229f86182ca1c2bc49aa2e09,10,San Francisco,summerIntro,9/9/16 4:22,9/9/16 4:25,9fc69673bd
5a83e1056e30a8596056bec5c050a86d,9,San Francisco,summerApps,9/9/16 11:06,9/9/16 11:09,6d5dece18c
50f1c0545d9cef1c10be657e1083990d,10,New York,summerGames,9/9/16 13:24,9/9/16 13:28,f7f5617754
22ac2ab300a76178ce53104d03408c8a,8,San Francisco,summerGames,9/10/16 22:28,9/10/16 22:30,9500d5b989
2d487d890a68bbdb70dd027bc1e501bb,9,San Francisco,summerApps,9/12/16 0:05,9/12/16 0:13,fe650b21f7
0cdf8eced1b8791ae536797c75751b25,5,San Francisco,summerVR,9/13/16 4:36,9/13/16 4:42,a7deda5bf5
d353c2cdff6bcf3e932579a5647d511a,10,San Francisco,summerGames (4-week),9/7/16 5:08,9/13/16 20:13,a3e21d76e3
f5716831fe432cef5da980038f2f8969,9,San Francisco,summerIntro,9/14/16 12:04,9/14/16 12:10,843b902fa2
951e9361c4da1756ae1c6fb2612cb9dd,9,Sunnyvale,summerGames,9/26/16 16:33,9/26/16 16:34,a2863e199d
